season,id,name,position,team,conference,countablePlays,averagePPA.all,averagePPA.pass,averagePPA.rush,averagePPA.firstDown,averagePPA.secondDown,averagePPA.thirdDown,averagePPA.standardDowns,averagePPA.passingDowns,totalPPA.all,totalPPA.pass,totalPPA.rush,totalPPA.firstDown,totalPPA.secondDown,totalPPA.thirdDown,totalPPA.standardDowns,totalPPA.passingDowns
2021,4426335,Graham Mertz,QB,Wisconsin,Big Ten,306,0.305,0.273,0.72,0.25,0.279,0.375,0.351,0.254,93.367,77.537,15.83,25,26.757,38.255,56.498,36.869
2021,4431280,Troy Franklin,WR,Oregon,Pac-12,32,0.306,0.306,,0.082,0.611,0.701,0.217,0.476,9.799,9.799,,1.226,5.501,4.905,4.567,5.232
2021,4239999,Will Swinney,WR,Clemson,ACC,9,0.306,-0.047,3.128,-0.262,-0.175,0.469,-0.064,1.602,2.755,-0.373,3.128,-0.787,-0.525,0.939,-0.449,3.204
2021,4373730,Jabari Laws,QB,Army,FBS Independents,46,0.306,0.787,-0.265,0.278,-0.194,0.492,0.289,0.346,14.095,19.671,-5.575,6.938,-1.936,4.917,9.257,4.838
2021,4565315,Blake Shapen,QB,Baylor,Big 12,107,0.307,0.284,0.462,0.081,0.332,0.802,0.128,0.62,32.876,26.402,6.474,3.42,11.633,20.052,8.715,24.161
2021,4258575,Liam Soraghan,TE,Northern Illinois,Mid-American,4,0.307,0.307,,0.383,0.082,,0.307,,1.23,1.23,,1.148,0.082,,1.23,
2021,4431453,Deuce Vaughn,RB,Kansas State,Big 12,248,0.308,0.425,0.277,0.209,0.241,0.573,0.311,0.3,76.506,22.539,53.967,25.543,19.514,21.775,59.433,17.073
2021,4569146,Jalen Johnson,WR,Arizona,Pac-12,5,0.308,0.97,-2.34,-2.34,0.97,,-1.346,1.411,1.541,3.88,-2.34,-2.34,3.88,,-2.693,4.233
2021,4428512,Kedon Slovis,QB,USC,Pac-12,269,0.308,0.326,-0.27,0.313,0.332,0.238,0.317,0.291,82.92,85.077,-2.157,42.301,23.929,14.053,57.036,25.884
2021,4427455,Cade McNamara,QB,Michigan,Big Ten,358,0.308,0.322,0.144,0.065,0.243,0.761,0.062,0.606,110.334,106.312,4.022,8.201,31.135,73.055,12.104,98.23
2021,4249624,Nick Muse,TE,South Carolina,SEC,34,0.309,0.309,,0.357,0.522,0.603,0.433,0.152,10.511,10.511,,5.001,3.655,5.428,8.233,2.277
2021,4569598,Dylan Morris,QB,Washington,Pac-12,351,0.31,0.291,0.554,0.133,0.149,0.721,0.167,0.529,108.845,95.008,13.838,17.87,16.686,66.329,35.367,73.479
2021,4241700,Chandler Speights,WR,Texas State,Sun Belt,12,0.31,0.31,,0.511,-0.317,1.375,0.204,0.523,3.721,3.721,,2.555,-1.584,2.751,1.628,2.093
2021,4248558,Jason Brown,QB,South Carolina,SEC,113,0.31,0.321,0.115,-0.311,0.512,0.65,0.004,0.67,35.073,34.383,0.69,-13.363,16.39,22.748,0.221,34.852
2021,4429096,Blake Corum,RB,Michigan,Big Ten,170,0.31,0.496,0.274,0.29,0.136,0.775,0.232,0.564,52.748,13.887,38.86,25.78,7.592,19.376,30.186,22.562
2021,4367728,Dedrick Parson,RB,Hawai'i,Mountain West,139,0.311,0.545,0.226,0.198,0.268,1.027,0.218,0.784,43.27,20.169,23.101,15.02,12.844,15.406,25.242,18.028
2021,4035312,Anthony Brown,QB,Oregon,Pac-12,536,0.312,0.291,0.381,0.177,0.274,0.716,0.223,0.453,167.221,118.861,48.36,40.091,51.517,78.749,73.496,93.725
2021,4429939,Jawhar Jordan,RB,Louisville,ACC,15,0.312,1.336,0.239,0.1,0.388,0.536,0.186,0.659,4.684,1.336,3.349,0.598,1.941,2.146,2.047,2.638
